user_answer,right_answer,score,Similarly
"""Jeremy's a good guy,"" Barber said, adding: ""Jeremy is living the dream life of the New York athlete.","He also said Shockey is ""living the dream life of a New York athlete.",0.55,46.962547
"But Mitsubishi Tokyo Financial (JP:8306: news, chart, profile) declined 3,000 yen, or 0.65 percent, to 456,000 yen.","Sumitomo Mitsui Financial (JP:8316: news, chart, profile) was down 2.5 percent at 198,000 yen.",0.32,71.02759
"About 1,557 genes on chromosome 6 are thought to be functional.","The remaining 1,557 genes are believed to be all functional.",0.55,75.33997
"In the second quarter, Anadarko now expects volume of 46 million BOE, down from 48 million BOE.",Production for the second quarter was cut to 46 million barrels from 48 million barrels.,0.65,41.086285
"U.S. troops encountered no resistance during the five-hour sweep near Tikrit, Saddam Hussein's hometown and the center of a region of Baath Party supporters.",Tikrit is Saddam Hussein's hometown and the region around it is known as a hotbed of Baath Party supporters and former high-ranking Iraqi military officials.,0.45,55.957275
"Miodrag Zivkovic, of the Liberal Alliance of Montenegro, won 31 percent of the vote while the independent Dragan Hajdukovic got four percent.","Miodrag Zivkovic, the leader of the pro-independence opposition Liberal Alliance, came in second with 31 percent of the vote.",0.6,82.52585
"In the year-ago period, Pearson posted a 26 million pre-tax profit.",A year ago the firm posted a profit of 26 million pounds.,0.64,64.43402
"Through Thursday, Oracle said 34.75 million PeopleSoft shares had been tendered.","Some 34.7 million shares have been tendered, Oracle said in a statement.",0.75,80.08484
Yucaipa owned Dominick's before selling the chain to Safeway in 1998 for $2.5 billion.,Yucaipa bought Dominick's in 1995 for $693 million and sold it to Safeway for $1.8 billion in 1998.,0.52,94.01033
"Graves reported from Albuquerque, Villafranca from Austin and Ratcliffe from Laredo.",Pete Slover reported from Laredo and Gromer Jeffers from Albuquerque.,0.25,56.911034
"A 25 percent increase would raise undergraduate tuition to about $5,247 annually, including miscellaneous, campus-based fees.","The 25 percent hike takes annual UC undergraduate tuition to $4,794 and graduate fees to $5,019.",0.5,77.38188
Authorities said the scientist properly quarantined himself at home after he developed SARS symptoms Dec. 10.,"The scientist also quarantined himself at home as soon as he developed SARS symptoms, officials said.",0.84,95.543
The support will come as a free software upgrade called WebVPN for current customers that have support contracts.,The upgrade will be available as a free download for current customers with SmarNet support in January 2004.,0.52,52.482025
Hilsenrath and Klarman each were indicted on three counts of securities fraud.,Klarman was charged with 16 counts of wire fraud.,0.28,58.99851
The new sensor -- dubbed CANARY for ''cellular analysis and notification of antigen risks and yields'' -- hijacks this natural process with two important changes.,"The team has named the sensor Canary, for cellular analysis and notification of antigen risks and yields.",0.72,89.26758
"One, Fort Carson-based Sgt. Ernest Bucklew, 33, had been on his way home to attend his mother's funeral in Pennsylvania.","Sgt. Ernest Bucklew, 33, was coming home from Iraq to bury his mother in Pennsylvania.",0.6,86.36367
Waksal has pleaded guilty to securities fraud and is to be sentenced next week.,"Waksal pleaded guilty to insider trading charges last year, and he is scheduled to be sentenced June 10.",0.7,89.01541
The device plays Internet radio streams and comes with a 30-day trial of RealNetworks' Rhapsody music service.,The product also streams Internet radio and comes with a 30-day free trial for RealNetworks' Rhapsody digital music subscription service.,1.0,93.346825
"The dollar fell as low as $1.1624 per euro from $1.1486 on Friday, and traded at $1.1594 at 10:15 a.m. in London.",The dollar dropped to $1.1564 per euro at 7:30 a.m. in London from $1.1486 on Friday.,0.6,86.40567
"During the hearing, Morales expressed ""sincere regrets and remorse"" for his actions.","Morales, who pleaded guilty in July, expressed ""sincere regret and remorse"" for his crimes.",0.76,86.80235
"Site Finder has been visited 65 million times since its introduction, Galvin said.","Through Sunday, Sept. 21, Site Finder has been visited over 65 million times by Internet users.",0.76,86.588715
"According to SunnComm's Peter Jacobs, ""MediaMax performs exactly as 'advertised' to the companies who purchased it.","""MediaMax performs EXACTLY as ""advertised"" to the companies who purchased it,"" Jacobs said in the statement.",0.84,92.96424
He was tracked to Atlanta where he was arrested on Tuesday night.,"He was arrested in Atlanta, Georgia, on Monday night by police acting on a tip-off.",0.5,82.75693
The Bush administration blames Hussein loyalists and foreign Muslim militants who have entered Iraq to fight U.S. troops for the wave of bombings and guerrilla attacks.,The Bush administration blames the wave of bombings and guerrilla attacks on Saddam loyalists and foreign Muslim militants who have entered Iraq to fight U.S. troops.,1.0,92.770836
It later emerged that he had broken his right thigh and bones in his right wrist and elbow.,Tour doctors later confirmed that he had broken his right leg near the hip and also sustained wrist and elbow fractures.,0.8,81.05743
The Senate agreed Tuesday to lift a 10-year-old ban on the research and development of low-yield nuclear weapons.,Both the House and Senate bills would end the ban on research and development of low-yield nuclear weapons.,0.72,67.54936
Some 95 million Americans -- half of all households -- invest in mutual funds.,About half of all U.S. households have money in mutual funds.,0.84,81.76181
"The House has passed prescription-drug legislation in the last two sessions, but the Senate has failed to do so.","The House has passed bills the past two Congresses, but the Senate has not.",0.68,56.903885
The elderly and those with weakened immune systems are also urged to protect against mosquito bites.,"But for the elderly and those with weakened immune systems, it can be fatal.",0.52,56.60035
"Ms Lafferty's lawyer, Thomas Ezzell, told a Kentucky newspaper: ""My understanding of this is that there is a lower percentage of successful impregnations with frozen.","""My understanding of this is that there is a lower percentage of successful impregnations with frozen,"" Ezzell said.",0.72,88.79367
"Klarman was arrested by FBI agents in the Hamptons, an exclusive summer resort enclave east of New York City.",Klarman was arrested by FBI agents Monday morning at his home in New York.,0.8,77.95913
The bishop told police he thought he had hit a dog or a cat or that someone had thrown a rock at his vehicle.,"Bishop O'Brien, aged 67, had told police he thought he had hit a dog or cat.",0.7,77.384995
"A promotional poster, complete with countdown dial, reminds readers of the upcoming release of ""Harry Potter and the Order of the Phoenix.""","The crates are full of hardback copies of ""Harry Potter and the Order of the Phoenix.""",0.3,37.056583
"""Further testing is still under way, but at this stage, given the early detection, the outlook in such instances would be positive,"" the specialist said yesterday.","""But at this stage, given the early detection, the outlook in such instances would be positive,"" he said.",0.7,67.52768
"In morning trading, the Dow Jones industrial average was up 40.12, or 0.5 percent, at 8,571.69, having fallen 51 points Monday.","In New York, the Dow Jones industrial average a gauge of 30 blue chip stocks was up 3.29 points or 0.04 per cent to 8,585.97.",0.35,71.72501
"Rich media doubled its share, increasing from 3% in Q2 2002 to 6% in Q2 2003.","Rich Media interactive ad formats doubled their share from 3% in second quarter of 2002, to 6% in the second quarter of 2003.",0.75,79.76002
"It will take time to oust die-hard remnants of Saddam Hussein's deposed regime in Iraq, Defense Secretary Donald H. Rumsfeld said Tuesday.",Defense Secretary Donald H. Rumsfeld said Tuesday it will take time to locate die-hard remnants of Saddam Hussein's deposed regime in Iraq.,0.96,83.27499
"Sayliyah was the command base for the Iraq war, but Central Command sent hundreds who ran the war back home to Tampa, Florida.","As Sayliyah was the command base for the Iraq war, but hundreds who ran the war have returned to the United States.",0.68,81.063446
SCO says the pricing terms for a license will not be announced for weeks.,"Details on pricing will be announced within a few weeks, McBride said.",0.52,47.622643
Sources within the racing industry have told the Daily Bulletin that Fontana will get a second NASCAR race on Labor Day weekend starting next season.,Sources in the racing industry said Fontana will get a second NASCAR race on Labor Day weekend starting next season.,0.88,98.93574
"The Dow Jones industrial average .DJI ended up 56.79 points, or 0.67 percent, at 8,588.36 -- its highest level since January 17.","The Dow Jones Industrial Average ($DJ: news, chart, profile) rose 56 points, or 0.7 percent, to 8,588.",0.72,76.96262
"Dennehy, who transferred to Baylor last year after getting kicked off the University of New Mexico Lobos for temper tantrums, had begun to read the Bible daily.","Dennehy, who transferred to Baylor last year after getting kicked off the University of New Mexico Lobos for temper tantrums, became a born-again Christian in June 2002.",0.72,76.63061
"Bashir felt he was being tried by opinion not on the facts, Mahendradatta told Reuters.","Bashir also felt he was being tried by opinion rather than facts of law, he added.",0.8,77.47194
Schofield got Toepfer to admit on cross-examination that she ignored many of O'Donnell's suggestions and projects.,"But under cross-examination by O'Donnell's attorney, Lorna Schofield, Toepfer conceded she had ignored many of O'Donnell's suggestions and projects.",0.9,89.086494
"In that case, the court held that Cincinnati had violated the First Amendment in banning only the advertising pamphlets in the interest of aesthetics.","In that case, the court held that the city of Cincinnati had violated the First Amendment in banning, in the interest of aesthetics, only the advertising pamphlets.",1.0,98.05932
"Box cutters were used as a weapon by the Sept. 11, 2001, hijackers and have since been banned as carry-on items.","Box cutters were the weapons used by the 19 hijackers in the Sept. 11, 2001, attacks.",0.68,88.49392
"On July 22, Moore announced he would appeal the case directly to the U.S. Supreme Court.",Moore of Alabama says he will appeal his case to the nation's highest court.,0.75,80.058205
"Southwest said its traffic was up 4.6 percent in the quarter, and it ended the quarter with $2.2 billion in cash.",Southwest said its traffic was up 4.6 percent in the quarter on a capacity increase of 4.2 percent.,0.64,83.75068
"Four versions of Windows operating systems are targeted: Windows NT, Windows 2000, Windows XP and Windows Server 2003.","The new worm affects these Windows systems: 2000, XP, NT 4.0 and Server 2003.",0.72,59.977486
Shares of McDonald's Corp. and Wendy's International Inc. continued a modest run-up on the New York Stock Exchange Monday.,"Shares of McDonald's and Wendy's continued their recent recovery Monday, rising more than 1 percent on the New York Stock Exchange in afternoon trade.",0.64,81.36314
"He playfully chided the Senate's ""little bitty tax relief plan.""",We don't need a little bitty tax relief plan.,0.7,55.2992
Looking to buy the latest Harry Potter?,Harry Potter's latest wizard trick?,0.38,60.579742
"MediaQ's customers include major handheld makers Mitsubishi, Siemens, Palm, Sharp, Philips, Dell and Sony.","Nvidia will take advantage of MediaQ customers, which include such players as Siemens AG, Sharp, Philips, Dell, Mitsubishi and Sony Corp.",0.6,74.4957
"Aventis, based in Strasbourg, France, is one of a handful of companies that still make the flu vaccine.","Aventis, based in Strasbourg, France, is one of the leading producers of the vaccine and one of a handful of companies that still make it.",0.72,92.1644
"Michael Bloomberg, NYC Mayor: ""I'm gonna try march with a number of different groups.","""I'm going to try to march with a number of different groups,"" Bloomberg said.",0.75,78.942
The attack seemed similar to others staged near foreign compounds in Riyadh on May 12.,"The attack seemed similar to attacks staged near foreign compounds in Riyadh on May 12, for which officials have also blamed al-Qaida.",0.72,90.191696
"""We put a lot of effort and energy into improving our patching process, probably later than we should have and now we're just gaining incredible speed.","""We've put a lot of effort and energy into improving our patching progress, probably later than we should have.",0.75,91.86658
"The boy also sprayed the room full of retardant from fire extinguishers, which made it hard to see, the chief said.","The boy fired once into a wall and sprayed the room with fire extinguishers, making it hard to see, the chief said.",0.67,80.59043
"""But HRT should not be used to prevent heart disease or any other chronic condition.""","""The clear message is it should not be used to prevent cardiovascular disease,"" Manson said.",0.52,65.61351
"The meat, poultry, butter, cheese and nuts were impounded a year ago at a LaGrou Cold Storage warehouse in Chicago.","The meat, poultry, butter, cheese and nuts were being stored by more than 100 wholesalers in Chicago.",0.36,70.07821
The BlueCore3-Multimedia includes a 16-bit stereo audio CODEC with dual ADC and DAC for stereo audio.,BlueCore3-Multimedia contains an open platform DSP co-processor and also includes a 16-bit stereo audio codec with dual ADC and DAC for stereo audio.,0.72,91.362885
"Now, with the agency's last three shuttles grounded in the wake of the Columbia disaster, that wait could be even longer.","With the remaining three shuttles grounded in the wake of the Columbia accident, the rookies will have to wait even longer.",0.88,78.611984
"Bremer, 61, is a onetime assistant to former Secretaries of State William P. Rogers and Henry Kissinger and was ambassador-at-large for counterterrorism from 1986 to 1989.","Bremer, 61, is a former assistant to former Secretaries of State William P. Rogers and Henry Kissinger.",0.6,92.640816
"Those conversations had not taken place as of Tuesday night, according to an Oracle spokeswoman.","Those talks have not taken place, according to an Oracle spokeswoman.",0.8,82.01162
"Taiwan has attempted to gain observer status to the United Nations-affiliated WHO for seven years, but again was rebuffed March 19 at its annual conference in Geneva.","It has sought observer status for seven years, but was again rebuffed May 19 at the annual WHO conference in Geneva.",0.65,69.74829
"A Washington County man may have the countys first human case of West Nile virus, the health department said Friday.",The countys first and only human case of West Nile this year was confirmed by health officials on Sept. 8.,0.6,76.231575
National Breast Cancer Centre chief executive Professor Christine Ewan said it was too early to quantify the risk to women.,National Breast Cancer Centre head Professor Christine Ewan said there was no need for panic.,0.52,43.48601
Brendsel and chief financial officer Vaughn Clarke resigned June 9.,The company's chief executive retired and chief financial officer resigned.,0.52,55.397205
"On health care, the NDP says there will be no privatization and no health-care premiums.",The New Democrats also renewed their commitment to no health-care privatization and no premiums.,0.92,80.1311
The new companies will begin trading on Nasdaq today under the ticker symbols PLMO and PSRC.,"Also as part of the deal, PalmSource stock will begin trading on the NASDAQ stock market Wednesday under the ticker symbol: PSRC.",0.55,61.55712
"Kids, adults, booksellers and postal workers all are preparing for ""Harry Potter and the Order of the Phoenix.""","The crates are full of hardback copies of ""Harry Potter and the Order of the Phoenix.""",0.44,32.812164
"The government did not identify the taikonauts — a term coined from ‘‘taikong,’’ the Chinese word for space — who would travel on the second mission.","The government did not identify the taikonauts -- a term coined from taikong, the Chinese word for space.",0.67,93.26042
"I think we made the right case and did the right thing.""","Mr Blair went on: ""I think we did the right thing in relation to Iraq.",0.55,55.862743
Kollar-Kotelly has scheduled another antitrust settlement compliance hearing for January.,The judge scheduled another oversight hearing for late January.,0.56,49.519806
"""Tomorrow at the Mission Inn, I have the opportunity to congratulate the governor-elect of the great state of California.","""I have the opportunity to congratulate the governor-elect of the great state of California, and I'm looking forward to it.""",0.8,82.45822
"""I expect Japan to keep conducting intervention, but the volume is likely to fall sharply,"" said Junya Tanase, forex strategist at JP Morgan Chase.","Junya Tanase, forex strategist at JP Morgan Chase, said ""I expect Japan to keep conducting intervention, but the volume is likely to fall sharply.""",0.95,91.34742
"The Sunshine Group LTD represented the developers, The Related Companies and Apollo Real Estate Advisors LP, on the deal.","The developers, The Related Cos. and Apollo Real Estate Advisors, hope sales top $1 billion.",0.32,58.548702
"""It is about a third of what I owe in the world,"" he told reporters.","It ain't coming to me, but it's only about a third of what I owe in the world.",0.75,57.175148
"The tech-laced Nasdaq Composite Index gained 2.90 points, or 0.18 percent, to 1,606.87.","At 12:10 p.m. EDT, Canada's benchmark S&P/TSX composite index was up 6.87 points or 0.1 per cent to 6,979.29.",0.1,59.35491
The benchmark 10-year Treasury note yield <US10YT=RR> dipped below 4.20 percent on Tuesday.,"Prices for Treasury securities also rose, with the yield on the benchmark 10-year note falling to 4.19 percent.",0.65,69.761215
"So was Edie Falco, the critically praised co-star of ""Frankie and Johnny.""","Edie Falco was not nominated for ""Frankie and Johnny.""",0.48,82.43457
"""Saddam is gone, but we want the (U.S.) occupation to end,"" said Hit resident Abu Qasim.","""Saddam is gone, but we want the (U.S.) occupation to end.""",0.64,86.62859
"Joe Kernan, who had been lieutenant governor for the past seven years, was sworn in as governor after O'Bannon died Saturday.","Kernan, who was O'Bannon's lieutenant governor, friend and political partner, was sworn in six hours after O'Bannon died Saturday.",0.75,87.99332
Advanced Micro Devices said Fujitsu Siemens Computers is offering a high-end workstation based on AMD's Opteron 200 Series.,Fujitsu Siemens Computers on Tuesday made good on a promise to offer a workstation based on Advanced Micro Devices' Opteron processor.,0.65,80.883514
Kodak expects earnings of 5 cents to 25 cents a share in the quarter.,Analysts surveyed by Thomson First Call had expected Kodak to earn 68 cents a share for the quarter.,0.48,73.51759
Shares of Corixa fell 12 cents to $6.88 on the Nasdaq stock market.,"Corixa's stock barely flinched on the news, dipping 12 cents to close at $6.88.",0.9,76.750145
"He was referring to John S. Reed, the former Citicorp chief executive who became interim chairman and chief executive of the exchange last Sunday .","Next week, John S. Reed, the former Citicorp chief executive who Sunday became interim chairman and chief executive of the exchange, will take up his position.",0.8,86.6646
"He refused to reveal what percentage of flights carried sky marshals, or whether they would be increased.",He refused to say what percentage of domestic flights had security officers on board.,0.76,72.86386
"The Nasdaq Composite Index rose 19.67, or 1.3 percent, to 1523.71, its highest since June 18.",The S&P 500 had climbed 16 percent since its March low and yesterday closed at its highest since Dec. 2.,0.16,45.966663
"They said they had concluded that the film failed ""to present a balanced portrayal"" of the Reagans.","CBS said the show ""does not present a balanced portrayal of the Reagans for CBS and its audience.",0.6,69.49228
State health officials said today a young northeast Kansas woman likely has the state's first case of monkeypox among humans or animals.,Health officials confirmed today that a northeast Kansas woman has the state's first case of monkeypox and the first case west of the Mississippi River.,0.7,90.45013
"Navistar shares were down 44 cents, or 1.1 percent, at $41.19 on the New York Stock Exchange after falling as low as $39.93.",Navistar shares rose a penny to $41.64 at late afternoon on the New York Stock Exchange after earlier falling as low as $39.93.,0.4,84.90304
Only Intel Corp.'s 0.3 percent yield was lower.,Only Intel Corp. has a lower dividend yield.,0.56,81.301476
"MGM, NBC and Liberty executives were not immediately available for comment.",A Microsoft spokesman was not immediately available to comment.,0.4,61.321495
"The new analysis found that 32 of the 16,608 participants developed ovarian cancer during about 5 years of follow-up.","The new analysis found that 32 of 16,608 participants developed ovarian cancer in about 5 1/2 years of follow-up, including 20 women taking hormones.",0.6,93.95864
Veteran stage and screen actor Hume Cronyn died of cancer Sunday.,"Character actor Hume Cronyn, 91, died Sunday at his home in Connecticut.",0.7,81.51628
"Deirdre Hisler, Government Canyon's manager, said the state has long had its eye on this piece of property and is eager to complete the deal to obtain it.","Deirdre Hisler, Government Canyon's manager, said the state long has coveted this piece of property, and is eager to complete the deal.",1.0,91.04992
"Reuters witnesses said many houses had been flattened and the city squares were packed with crying children and the homeless, huddled in blankets to protect them from the cold.","Reuters witnesses said public squares were packed with crying children and people left homeless, huddled in blankets to protect them from the cold.",0.65,79.95226
The three grocery chains were relying on store managers and replacement workers to keep their stores open.,"The supermarket chains have used managers and replacement workers to keep their stores open, often at reduced hours.",0.68,79.005264
"The security official's backup couldn't fill in because he was on active military duty, Strutt said.","The security official's backup was on active duty, and the lottery association didn't have a replacement in New Jersey, Strutt said.",0.68,62.545036
"Researchers found the fossils in a semidesert area of Venezuela, about 250 miles west of Caracas.","Phoberomys' skeleton was unearthed 250 miles west of Caracas, Venezuela.",0.75,67.519394
Mr McDonnell is leading Grant Thornton International's inquiry into the Italian business.,Mr McDonnell wants to establish if the Italian business followed Grant Thornton's audit procedures.,0.55,79.09438
The industry's largest association is urging its members not call the more than 50 million home and cellular numbers on the list.,"Meantime, the Direct Marketing Association said its members should not call the nearly 51 million numbers on the list.",0.64,75.432785
"The workers accuse General Dynamics of ""reverse age discrimination"" because of a change in retirement benefits in 1997.",General Dynamics was sued when it changed its retirement benefits in 1997.,0.52,53.377808
"The tech-laced Nasdaq Composite Index .IXIC eased 5.16 points, or 0.32 percent, at 1,590.75, breaking a six-day string of gains.","The tech-heavy Nasdaq Composite Index .IXIC was off 0.11 percent, or 1.78 points, at 1,594.13.",0.32,81.83287
The Space Infrared Telescope Facility's mission is to search for the beginnings of the universe.,NASA is scheduled to launch the Space Infrared Telescope Facility on Monday morning.,0.5,66.79156
The respected medical journal Lancet has called for a complete ban on tobacco in the United Kingdom.,"A leading U.K. medical journal called Friday for a complete ban on tobacco, prompting outrage from smokers' groups.",0.68,80.859856
"The driver of the truck escaped and is now being sought by the police, Supoyo said.",But police say the driver of the truck has not been found and is wanted for questioning.,0.8,59.911633
"""In so many different ways, the artistry of black musicians has conveyed the experience of black Americans throughout our history,"" Bush said.","Surrounded by singers from Harlem, Bush said: ''The artistry of black musicians has conveyed the experience of black Americans throughout our history.",0.85,93.44601
"Geraldine Andrews, the pastor's daughter-in-law, said Robinson recently took her daughter out of a mental health facility.","Geraldine Andrews, Reynolds' daughter-in-law and a friend of Wilson's family, said Robinson had recently taken Wilson out of a mental health facility.",0.8,79.3399
"Before Thursday's matinee, Baker called a clubhouse meeting, concerned that the controversy had distracted the Cubs.","Baker called a pregame meeting, believing the the corked-bat episode had distracted the team.",0.68,74.26891
She was taken by ambulance to Charing Cross Hospital in Hammersmith.,"She was taken to Charing Cross Hospital, where she remained critically ill last night.",0.56,71.554306
"Shortly after the opening bell, the Dow Jones Industrial Average was up 11.13 to 9,228.48, while the S&P 500 index gained 1.74 to 982.33.","After a weak start, the Dow Jones Industrial Average ended the day up 26.26 to 9,217.35, while the S&P 500 index rose 3 to 980.59.",0.32,81.157875
"In addition, primary care trusts (PCTs) were given star ratings for the first time this year.",Primary Care Trusts and Mental Health Trusts have also been formally rated for the first time this year.,0.76,71.01862
"""We are expending all available resources toward the investigation,"" said Assistant U.S. Attorney Todd Greenberg, a counterterrorism prosecutor in Seattle.","""We are aware of the situation,"" said Assistant US Attorney Todd Greenberg, a counter-terrorism prosecutor in Seattle.",0.53,67.661156
"The technology-laced Nasdaq Composite Index .IXIC shed 15 points, or 0.98 percent, to 1,492.","The broader Standard & Poor's 500 Index <.SPX> edged down 9 points, or 0.98 percent, to 921.",0.24,42.183296
The research firm earlier had forecast an increase of 4.9 percent.,The firm had predicted earlier this year a 4.9 percent increase.,0.96,83.409134
"PeopleSoft will commit $863 million in cash and issue 52.6 million new shares, the companies said.","The new deal would be valued at $1.75 billion, including $863 million in cash and 52.6 million PeopleSoft shares.",0.6,73.93121
"So in his State of the Union address in January, Bush declared that the British government ""has learned that Saddam Hussein recently sought significant quantities of uranium from Africa.""","In his Jan. 28 State of the Union message, Bush said, ""The British government has learned that Saddam Hussein recently sought significant quantities of uranium from Africa.""",0.8,94.25254
"The other 24 members are split between representatives of the securities industry and so-called ""public"" board members.","Of the 24 directors who are not exchange executives, half are representatives of the securities industry and half are designated public members.",0.8,71.22225
The Episcopal Diocese of Central Florida became one of the first in the nation Saturday to officially reject the national denomination's policies on homosexuality.,The Episcopal Diocese of Central Florida voted Saturday to repudiate a decision by the denomination's national convention to confirm a gay man as bishop.,0.55,71.8979
McGill also detailed the hole that had been cut in the Caprice's trunk.,McGill also said a dark glove was stuffed into a hole that had been cut in the Caprice's trunk.,0.45,80.09825
"That compared with a year-earlier profit of $102 million, or 13 cents a share.","That was more than double the $102 million, or 13 cents a share, for the year-earlier quarter.",0.64,83.576805
"""The economy, nonetheless, has yet to exhibit sustainable growth.",But the economy hasn't shown signs of sustainable growth.,0.95,79.27854
The commission estimated California lost $937 million to corporate tax shelters in 2001.,California's lost tax revenue was mostly due to international corporate tax shelters.,0.56,72.77387
"In other markets, U.S. Treasuries started off on Monday weaker, as stocks rose early.","In other markets, U.S. Treasuries inched higher as declining stocks raised the appeal of safe-haven debt.",0.28,54.822453
"The technology-laced Nasdaq Composite Index .IXIC was down 25.36 points, or 1.53 percent, at 1,628.26.","The broader Standard & Poor's 500 Index .SPX gave up 11.91 points, or 1.19 percent, at 986.60.",0.15,45.434425
"The Pentagon had hoped to retain control of the postwar effort, so the decision is a victory for Secretary of State Colin L. Powell.","The Pentagon had hoped to retain control of the postwar effort, so the decision was seen by some insiders as a victory for Powell and the State Department.",0.73,88.66579
"Prof Sally Baldwin, 63, from York, fell into a cavity which opened up when the structure collapsed at Tiburtina station, Italian railway officials said.","Sally Baldwin, from York, was killed instantly when a walkway collapsed and she fell into the machinery at Tiburtina station.",0.68,75.31258
It calls for the agency to plan an independent safety and engineering organization.,The agency has yet to fully formulate a strategy for the creation of an independent engineering technical authority.,0.68,49.741436
"WorldCom's accounting problems came to light early last year, and the company filed for bankruptcy in July 2002, citing massive accounting irregularities.","WorldCom's financial troubles came to light last year and the company subsequently filed for bankruptcy in July, 2002.",0.77,90.217766
"The study also found that consumer goods advertisers continued to spend the most dollars online, representing 35% of all Web advertising.","In the second quarter, consumer advertisers continued to spend the most online, slightly increasing their share.",0.6,72.10122
Kiernan testified that Seifert had received a gunshot wound to the back.,"Seifert, he testified, had a gunshot wound in the back.",0.7,86.644135
"It is priced at $5,995 for an unlimited number of users tapping into the single processor, or $195 per user with a minimum of five users.","It is priced at $5,995 or $195 on a per user licensing plan with a minimum of five users.",0.65,78.15083
Tropical storm heads for pass along Honduras coast,Tropical storm warnings for Southeast coast,0.28,60.91226
Suicide bomber kills 12 in Nigeria church,Suicide bomber kills 21 in NW Pakistan,0.15,62.85852
US says ready to help blind Chinese activist,U.S. ready to help Chinese activist: official,0.68,80.041855
Gazans fire 2 rockets into Israel; no injuries,2 Gaza rockets hit Israel; no injuries,0.96,89.988655
Berri says ready to help launch national unity government,The perception of Spain has changed dramatically with this government,0.08,19.343609
13 dead in Iraq bomb attacks,16 killed in north Iraq attacks,0.36,75.8666
Hurricane Isaac Moves Inland After Landfall,Hurricane Isaac batters US coast near New Orleans,0.48,74.97008
Nigeria mourns over 193 people killed in plane crash,Nigeria opens probe into deadly air crash,0.32,57.297222
ICC jails Congolese warlord for 14 years over child soldiers,Congolese warlord sentenced to 14 years in landmark case - video,0.64,75.68094
"7 soldiers killed, 56 injured in PKK attack in eastern Turkey","3 killed, 14 injured in attacks in Iraq",0.08,55.70203
Schiphol airport partly evacuated after bomb threat,Schiphol airport evacuated due to bomb threat,0.8,98.876816
MIER ups 2012 growth forecast to 4.2pc,CMIE cuts 2012-13 growth forecast to 6.3%,0.16,48.413746
Activists: Syrian troops storm Damascus suburb,Activist says Syrian citizen cameraman killed in Homs,0.28,44.79239
Tehran: EU sanctions won't force Iran into nuclear talks,Low expectations for Iran nuclear talks,0.36,66.86812
Portugal Drownings: UK Girl And Grandad Named,British Girl And Grandad Drown In Portugal,0.44,87.36617
"Iran, powers set for high-stakes nuclear talks","U.S., Iran prepare for Istanbul nuclear talks",0.64,70.741295
Syrian forces kill teen in Aleppo protests,Syrian forces kill 3 protesters in Damascus-activists,0.24,69.19572
"Jaguar to create 1,100 jobs in UK","Royal Mail to create 1,000 jobs",0.25,54.480732
Iraq searches Syria bound Iran plane: officials,Iraq searches Syrian-bound Iranian plane,0.84,96.219376
Syria fighting rages as Russia urges Western re-think,"Syria fighting rages in capital, Russia pressed",0.52,74.839386
Erdogan's party submits plan for Turkish presidency,Erdogan's party aims for Turkish presidency,0.72,89.36009
Publisher acquitted in privacy case,PBS publishes new guidelines on impartiality,0.08,20.692938
Samsung overtakes Nokia in phones,Charges over dog attack on police,0.0,1.4798329
Gu Kailai murder trial ends in China,Gu Kailai's Murder Trial Ends in China,1.0,98.71476
Not 'hiding the ball' on Russia: Obama,Obama says he's not 'hiding the ball' on Russia,0.88,91.7733
England captain Andrew Strauss retires from professional cricket,England captain Strauss retires from cricket,0.96,94.55516
China backs Sri Lanka on UN resolution,War crimes: China backs Lanka on UN resolution,0.72,76.68844
Ton up: Tendulkar reaches 100th international hundred,Sachin Tendulkar's reaches 100 centuries - in pictures,0.76,67.74727
Conspiracy against me - Lance,Day begins amid panic,0.04,19.125128
"Mursi takes oath of office, becomes Egyptian president",Morsi to take oath as first Egypt civilian president,0.76,69.06952
Syrian opposition pleads for criminal court action,Syrian opposition leader criticizes U.S.,0.44,51.69332
Sunderland 2-2 Bolton: Davies double gets Trotters a point but they stay in bottom three,Sunderland 2-2 Bolton: Davies in at the double,0.8,81.52063
"Syrian forces shell towns, clash with rebels",Syrian forces and rebels clash in coastal province,0.52,77.6336
Bahraini protesters and police clash after funeral,"Greek protesters, police clash as bailout deal in limbo",0.12,40.992443
Apple buying security firm AuthenTec for $356 million,News Summary: Apple buying AuthenTec for $356M,0.88,86.75369
Trade newspaper Variety up for sale,Hollywood trade publication Variety put up for sale,0.8,63.457443
Australians flee homes amid floods,Australian speaker steps aside,0.16,31.122541
Germany dodges recession with growth in first quarter,"Eurozone avoids recession in Q1, thanks to Germany",0.4,65.42237
Asian stocks rise after Greek vote eases fears,Oil rises after Greek election result,0.28,55.21756
British soldier killed in southern Afghanistan,Two British soldiers killed in Afghanistan,0.6,82.99599
Obama silent on China dissident,Obama to visit Korean DMZ,0.12,42.950394
Suicide Bomber Kills 6 in Afghan Capital,Suicide bomber kills 37 at mosque in Afghanistan,0.4,74.7889
Denver shooting: Police to detonate devices in suspect's home,Police to detonate devices in Colorado shooting suspect's home,0.92,89.74385
Syria hands over bodies of journalists,Syria TV says govt troops free captive journalists,0.28,72.53305
Coroner: Whitney Houston died in bathtub,Coroner confirms Whitney Houston found in bathtub,0.9,88.62372
Japan suffers severe flooding - in pictures,Oklahoma wildfires destroy homes - in pictures,0.16,33.135086
