sentence1,sentence2,score
A woman is opening a soda and drinking it.,A woman is riding on an elephant.,0.12
A man is assembling speaker parts.,A man is playing the guitar.,0.2
The dog walked along the edge of the pool.,A dog is walking along a pool.,0.92
Butter is being put into a bowl.,A man cutting butter into a mixing bowl.,0.85
Raccoons are eating.,A man is eating.,0.3
Someone fell off a horse.,A man gets knocked off of a horse.,0.7
A woman peels an apple.,A man pops wheelies on a motorcycle.,0.0
A man is taking some math classes.,A man is rinsing a steak.,0.0
Animals are playing in water.,Two men are playing ping pong.,0.0
A man is riding a horse and jumping over obstacles.,A man is kicking a soccer ball.,0.07
A person is doing pencil tricks with his hand.,A person is slicing carrots in half.,0.07
The person lit the cameras on fire.,A person is blow torching cameras.,0.67
The man is slicing the tape from the box.,A man is cutting open a box.,0.87
A man is fishing in the river.,A man is singing while walking down the sidewalk.,0.16
A man is riding a bike.,A woman is dancing in the street.,0.04
A man is doing push-ups.,A woman is cutting some octopus.,0.0
A man is playing guitar.,A woman is slicing up some pork.,0.0
The little boy is singing and playing the guitar.,A baby is playing a guitar.,0.56
A woman is powdering her face.,The woman is tapping her fingers on the table.,0.16
A woman is peeling a potato.,A lion is walking around.,0.0
A woman is firing a rifle.,A man is performing stunts.,0.05
A woman puts a garland over a man's shoulders.,A man pours water over a pilots head.,0.1
An old woman is shaking hand with a man.,A man and a woman shake hands.,0.75
The woman is waterskiing.,A woman is wake boarding on a lake.,0.35
Trees are bending in storm.,Trees are hit by very hard winds.,0.53
A man and woman is riding in a car.,A woman is frying shrimp.,0.08
A man is moving a tree limb.,The woman is playing the violin.,0.0
A man plays a piano.,A woman is playing the violin.,0.2
A person pours oil on a skillet.,A person is dicing an onion.,0.16
The animal is eating.,A woman is dancing.,0.0
The woman is walking her dog.,A woman walks her dog down the street.,0.8
A group of people sing.,Some people are singing.,1.0
The cat is drinking milk.,A cat is licking from a saucer of milk.,0.88
A girl is making eyelid.,A woman is applying eyeshadow.,0.4
Two men are fighting.,Two men are fighting using a form of martial arts.,0.56
The military officer barked at the recruits.,An officer is talking to recruits.,0.5
The man is putting chicken into the container.,A man is putting foods in a box.,0.5
A man is tying on a stenographers machine.,the man used a stenograph.,0.45
A woman is adding pasta to a pot of water.,A woman is making noodles.,0.72
A woman is lying on a blanket on a rock and reading a book.,A woman seated is singing a song and playing the guitar too.,0.24
Two puppies are playing with each other.,Some men are playing soccer.,0.04
A man is running on a field.,A man climbs up a rope.,0.2
A man is hugging someone.,A man is taking a picture.,0.08
Someone is pouring ingrediants into a pot.,A man puts vegetables into a pot.,0.56
A couple are walking.,Some men are sawing.,0.0
A person is playing a guitar.,The man played his guitar.,0.6
A person is adding food in a pan.,A woman puts rice into a pan.,0.6
A group of penguins is walking.,A large amount of penguins are heading to the ocean.,0.56
A man is playing a guitar.,Someone is handling a bun.,0.0
A dog is jumping on a trampoline.,A boy is playing a guitar.,0.0
A man is shaking a container over a kitchen sink.,A man is emptying a plastic container.,0.44
A man is walking with a horse.,A man is leading a horse around by it's halter.,0.75
Paper is being cut with scissors.,A piece of paper is being cut.,0.8
A person peels shrimp.,The lady peeled the shrimp.,0.7
A man is playing a guitar.,A man tries to read the paper.,0.16
A man making a bed in a hotel.,A man is holding a animal.,0.16
The dog pulled the dogs tail and then his leg.,A monkey pulled a dogs tail.,0.35
A woman beats two eggs in a bowl.,A person is mixing ingredients in a bowl.,0.6
A man is jumping rope outside.,A woman is slicing a cucumber.,0.0
A person is slicing some onions.,A hamster is singing.,0.0
A woman holds a kangaroo.,A man in a hat sings a song.,0.0
Soccer players are kicking a soccer ball into the goal.,A soccer player scores a goal.,0.76
A woman is cooking something.,A woman is pouring ingredients into a frying pan.,0.64
A woman is swimming in the beach.,A woman splashes around in the ocean's waves.,0.64
A man is carrying another man.,A man sprays another man with water from a hose.,0.16
The woman is putting paste into a dish.,A woman is pulling some kind of sticky goo out of a bowl.,0.3
A man is holding up and talking about a gray You Tube T-shirt.,A man is showing a t shirt.,0.55
Someone pours olive oil into a bowl of tomato wedges.,The man poured oil on the tomato slices.,0.75
A man is playing the guitar.,The man played his guitar with a friend.,0.64
Someone is boiling okra in a pot.,Someone pours olive oil into a bowl of tomato wedges.,0.16
A person is peeling a potato.,A cat is licking a small bottle.,0.0
A cat is jumping into a box.,A young man is talking to a leaf.,0.0
The woman is seasoning the oil.,A woman is pouring ingredients in a bowl.,0.28
A cat is sliding upside down under a couch.,A cat is crawling under a piece of furniture on it's back.,0.64
A woman dances while a man plays the keyboard.,A woman is dancing on a stage.,0.44
A chef is cleaning up a bowl of soup.,A man is wiping the edge of a bowl off.,0.51
An explosion is booming in the desert.,A nuclear weapon explodes in a desert.,0.68
A woman slices a lemon.,A man is talking into a microphone.,0.0
An overweight man is skipping rope.,A young man is dancing.,0.16
The lady cracked two raw eggs.,The woman is cracking eggs into a bowl.,0.64
A man sharpens a pencil using a knife.,A woman is dancing in the rain.,0.0
Plastic toys are floating in water.,The ladies are performing a dance.,0.0
The turtle followed the fish.,A sea turtle is hunting for fish.,0.6
The woman is pencilling on eye shadow.,The girl is using an eye pencil on her eyelid.,0.56
A man is tying his shoe.,A dog is riding on a bicyclists shoulders.,0.0
A woman is slicing meat with a knife.,A man is spreading out dough.,0.08
A dog is running on the ground.,A girl is tapping her finger nails.,0.0
A man is petting a tied up dog.,A man is showing his dog to the camera.,0.2
A woman is walking on an open ground with a pet dog as some other dogs follow them.,A man is walking with several dogs.,0.4
A woman is mincing some garlic.,A person is cleaning a disk.,0.0
Two teams are playing soccer.,Different sets of teams are playing football on a field.,0.5
A rat like creature is smelling around.,An animal is walking on the ground.,0.4
Two Sumo ringers are fighting each other.,A man rides a water toy in the water.,0.0
A man lays on the ground and aims a rifle.,A man is spreading butter on a tortilla.,0.0
A couple are running towards the ocean.,"A man and and woman are running together, holding hands.",0.56
A woman is chopping a hard egg.,A person is cutting  boiled egg into pieces.,0.71
Two robots share a kiss.,A male and female robot are kissing.,0.76
A cat is trying to touch a dog.,The cat teased the dog by touching his head.,0.65
The rhino grazed on the grass.,A rhino is grazing in a field.,0.8
The man drove his little red car around the traffic.,The dog ran in the water at the beach.,0.0
A man is cutting bread.,A man is doing tricks with a soccer ball.,0.2
A cat rapidly swats a kid in the head.,A cat and a boy play together.,0.52
A cat is playing in a box.,The dog is playing with the floor cleaner.,0.28
The couple danced in the church.,A couple slow dances.,0.64
A man is patting an alligator on the mouth.,A person is dumping chopped vegetables into a pot on the stove.,0.0
A person checks some rice pudding.,A horse is running.,0.0
A woman is stirring two eggs in a glass bowl.,A young girl is singing on a stage.,0.0
The man is playing the drums.,A man pours cleaner in his sink.,0.0
A man is slicing a pepper.,A person cuts a big green pepper apart.,0.76
A woman is speaking in sign language.,A woman spices some seafood.,0.13
A boy is crawling into a dog house.,A cat is playing on the floor.,0.0
The girl flew her kite while she ran up a hill.,A girl loses her kite.,0.45
A woman is placing food in a pot of hot water.,A woman is frying meat.,0.25
A small monkey walks through water.,A monkey is wading across a marsh.,0.68
A man is riding a bike.,A panda bear is eating.,0.0
A young man is singing and playing the piano.,The man is writing a letter.,0.04
A boy takes off his sunglasses.,A boy is screaming.,0.1
A girl is playing a piano.,A boy is doing push ups.,0.0
The lady sliced a tomatoe.,Someone is cutting a tomato.,0.8
Someone is holding a hedgehog.,A onion is being sliced.,0.0
A woman peels a potato.,A woman is grilling pineapples.,0.2
A cat is drinking some water.,A truck is going down a hill.,0.0
A person is putting salt and pepper on a piece of pork.,A youngster is sitting on a piano.,0.0
The man sat in his chair and stared.,The little girl is putting her hair into a pony tail.,0.0
A woman is dicing a potato.,A woman cuts tofu into tiny pieces.,0.36
A baby is crawling happily.,A baby sneezed and scared another baby.,0.24
A person is frying a meat in the pan.,A man is cutting a vegetable.,0.12
A man is looking out of a window.,A woman is swimming in the water.,0.05
A man seated is playing the guitar.,A man is playing an acoustic guitar and singing into a microphone.,0.65
A woman is slicing an onion with a knife.,A man is preparing some dish.,0.25
A rider is running and jumping her horse.,A woman jumps hurdles on a horse.,0.8
A boy is playing a key-board.,A boy is sitting in a room playing a piano by lamp light.,0.65
Two men are fighting.,The man is exercising.,0.15
A man is playing a wooden flute while several other men play bongo drums.,A man is playing a flute.,0.65
A person is petting a monkey.,A man is holding a slow loris.,0.24
Two cartoon rabbits are kissing.,A rabbit is kissing another rabbit.,0.76
The hedgehog chewed on the towel.,A hedgehog is biting at a blanket.,0.68
A cat is licking himself.,A man is slicing a white onion with a mandolin slicer.,0.0
A small guinea pig is gnawing and eating a piece of carrot on the floor.,A Guinea pig eats a carrot.,0.7
Four boys are standing in front of the burning car.,Four young men stand still as a car explodes behind them.,0.75
A man is smoking.,The man sat in his suit and smoked.,0.8
A woman is adding sauce to some food.,A person is cutting leaves.,0.04
Three children are eating their food.,The deer jumped over the fence.,0.0
A submarine is going through water.,A baby is falling asleep.,0.0
A man is running on a street.,A man plays the guitar.,0.16
A person is slicing an onion.,A cat is pooping into a toilet.,0.0
A badger is digging in the dirt.,A man is moving large rocks.,0.0
A woman is slicing big pepper.,A dog is moving its mouth.,0.0
A man is riding a bicycle.,A man is riding a bike.,1.0
A man and a woman are kissing each other.,A man and a woman are talking to each other.,0.12
A woman is slicing an onion.,A woman is cutting an onion.,0.84
A small boy is playing with a dog.,A baby is playing with a dog.,0.75
The man is drawing.,A man is drawing.,1.0
A man is cutting a potato.,A woman is cutting a tomato.,0.25
A boy is playing a guitar.,A kid is playing a guitar.,0.72
A woman is cutting an onion.,A woman is cutting through an onion.,1.0
A toy train is striking a toy car.,A toy train strikes a toy car.,1.0
A man is playing the guitar.,A man is playing the flute.,0.44
A cat opens a drawer and climbs inside.,A cat is opening a drawer and climbing inside.,1.0
A woman is frying a food.,A woman is deep frying food.,0.85
A man is dicing an onion.,A woman is cutting an onion.,0.5
A girl is playing a guitar.,A man is playing a guitar.,0.56
A girl is singing on stage.,A man is singing on stage.,0.56
A woman is riding a horse.,A woman is riding a donkey.,0.56
A girl is playing a guitar.,A man is playing a guitar.,0.56
A woman is brushing some shrimp.,A woman brushes some shrimp.,1.0
A man is dancing on the ceiling.,A man is dancing on the ceiling of a room.,0.96
A woman thinly slices an onion with a large knife.,A woman is slicing onions with a large knife.,0.84
A man is playing a keyboard.,A man plays a keyboard.,1.0
A man plays the guitar.,A man is playing the guitar.,1.0
A woman is peeling a potato.,A woman peels a potato.,1.0
A woman is handling a frog.,A man is holding a frog.,0.75
A man is playing a flute.,A man is playing a guitar.,0.4
A man is playing a guitar.,A man is playing a flute.,0.32
A man is playing a piano.,A man is playing a guitar.,0.36
A man is playing a guitar.,A man is playing a piano.,0.4
A man is playing a flute.,A man is playing a guitar.,0.4
A man is playing a flute.,A man is playing a guitar.,0.4
Two women are on a couch.,Two women are hugging on a couch.,0.64
Someone is slicing a cucumber.,A man is slicing a cucumber.,0.76
A kitten is playing with a blue rope toy.,A kitten is playing with a toy.,0.88
The dog is barking at the toy.,A dog is barking at a toy.,1.0
A person folds a tortilla.,A man folds a tortilla.,0.7
A cat is drinking milk.,A kitten is drinking milk.,0.8
A person is driving a car.,A man is driving a car.,0.7
A turtle is walking.,A tortoise is walking.,0.88
A cow is eating grass.,A cow is eating hay.,0.76
A woman is chopping broccoli.,A woman is chopping garlic.,0.52
A man is crying.,A man is screaming.,0.6
The man is playing the guitar.,A man is playing guitar.,1.0
A man is cutting an onion.,A man is cutting a plantain.,0.73
A man is slicing a potato.,A woman is peeling a potato.,0.47
A woman is tapping her fingers on a table.,A woman is tapping her fingers.,0.8
Someone is boiling okra in a pot.,Someone is cooking okra in a pan.,0.88
A man is smoking.,A man is mixing.,0.04
The man is playing the drums.,A man is playing drums.,1.0
A man dives into a pool.,A man is diving into a pool.,1.0
A woman is cutting a leak.,A woman is slicing a leek.,0.8
A little boy is playing a guitar.,A boy is playing guitar.,0.92
A woman is dancing.,The man is dancing.,0.52
Women are talking.,The men are talking.,0.52
A girl is putting gel in her hair.,A woman is putting gel on her hair.,0.52
A kid is playing guitar.,A man is playing a guitar.,0.44
A group of people are marching in place.,A group of people are dancing in concert.,0.34
The woman is shooting a machine gun.,The man is shooting a gun.,0.4
A man played the piano.,A man plays a piano.,0.8
A woman is slicing an onion.,Someone is slicing a onion.,0.65
A man is slicing a cucumber.,A man is cutting cucumbers.,0.9
A girl is eating a cupcake.,A woman is eating a cupcake.,0.52
A woman is cutting an onion.,A man is chopping an onion.,0.4
The man is playing a guitar.,A baby is playing a guitar.,0.36
A man is playing the guitar.,A man is playing the drums.,0.31
Two little girls talk on the telephone.,Two girls talk on the phone.,0.9
A man is chopping a log with an axe.,A man is chopping a tree trunk with an axe.,0.8
A person is cutting a capsicum into pieces.,A person is slicing a garlic into pieces.,0.32
A man is talking with a woman.,A woman is walking with a dog.,0.1
The man is walking.,A man is talking.,0.28
Someone is pouring oil into a skillet.,Someone is pouring milk into a blender.,0.32
A small kitten is playing a ball.,A kitten is playing with a ball.,0.88
A man is playing a guitar.,A woman is playing a flute.,0.36
A girl is playing a violin.,A girl is playing a flute.,0.52
A man is playing two pianos.,A cat is playing a piano.,0.32
A man is exercising.,A girl is exercising.,0.6
A person is slicing a scallop.,A person is slicing octopus.,0.4
A man and a woman are riding on their bicycles.,A man and woman are riding a motorcycle.,0.4
Two men are fighting in a cow pasture.,Two men are fighting in a cattle pen.,0.8
A woman is adding oil to a pan.,A man is pouring oil into a pan.,0.6
A girl makes up her bed.,A young girl makes her bed.,0.88
The cat played with a watermelon.,A cat is playing with a watermelon.,0.96
A girl jumps on a car.,A girl is jumping onto a car.,0.96
A man is praying.,A man is running.,0.15
A car is parking.,A cat is playing.,0.0
A man is running.,A man is dancing.,0.25
A man is singing.,A man is dancing.,0.1
A man is carrying another man over his shoulder.,A man is carrying someone on his shoulder.,0.65
A woman is peeling a potato.,A woman is slicing a tomato.,0.27
A woman is cutting a tomato.,A woman is slicing a potato.,0.2
Someone is peeling a potato.,Someone is slicing a tomato.,0.28
A woman is peeling a potato.,A woman is slicing a tomato.,0.27
Two robots kiss.,Two robots are kissing.,1.0
Two boys on a couch are playing video games.,Two boys are playing a video game.,0.8
A woman is squeezing a lemon.,A woman is squeezing juice out of a lemon.,0.88
A woman is slicing an onion.,A man is slicing a tomato.,0.24
A woman is slicing a carrot.,A man is slicing a tomato.,0.24
A girl is styling her hair.,A girl is filing her nails.,0.25
A man walking down the stairs.,A man walks down a staircase.,1.0
Two people are riding a motorcycle.,Two people are riding a bike.,0.4
A man is playing a guitar.,A woman is playing an electric guitar.,0.44
A man is playing a guitar and singing.,A man is playing a guitar.,0.64
A man is walking in the rain.,A man and woman is walking in the grand.,0.3
A kangaroo is eating.,Kangaroo eating.,0.95
A man is fishing.,A man is exercising.,0.1
A woman is swimming.,A man is singing.,0.01
A Woman is eating.,A animal is eating.,0.32
A boy and a girl is dancing in the rain.,A man and woman is dancing in the rain.,0.52
A man is driving a car.,A man drives a car.,0.97
A woman is grating onion.,A woman grates onions.,1.0
Two roosters are fighting.,Two men are fighting.,0.4
A man is riding a horse.,A man is driving a car.,0.28
A man is riding a horse.,A man is driving a car.,0.28
A man is shooting a gun.,A man is slicing a bun.,0.16
A woman is cutting an onion.,A woman is cutting meat.,0.4
The woman is slicing herbs.,The man is slicing bread.,0.32
A boy is playing the piano.,A man is playing a piano.,0.6
A baby elephant is eating.,A baby elephant eats a sapling.,0.72
A woman is cracking eggs into a bowl.,A woman is cracking eggs.,0.8
A person is playing the keyboard.,A boy is playing a key-board.,0.8
A boy whacks a man with a sword.,A boy spanks a man with a plastic sword.,0.67
A person is slicing a carrot into pieces.,A person is cutting an onion into pieces.,0.3
A man sliced through a bunch of water bottles with a knife.,A man is slicing a line of water bottles with a knife,0.88
A man is writing in a book.,A man is writing on a paper.,0.57
A woman is slicing a garlic.,A woman is slicing a big pepper.,0.44
A person is making a bed.,A person is eating at a table.,0.04
A man is playing keyboard.,A man is playing guitar.,0.36
A man is playing a violin.,A man is playing a harp.,0.32
The woman is smoking.,The man is walking.,0.04
The man erased what the other man had on the board.,The man erased the work on the board.,0.6
A man is riding a motorcycle.,A man is riding a motorcycle through a town.,0.7
A man is riding a motorcycle on the highway.,A man is riding a motorcycle.,0.7
A woman is slicing up some meat.,A woman is slicing some onions.,0.4
A woman cuts up broccoli.,A woman is cutting broccoli.,1.0
A man is playing a piano.,A woman is peeling a potato.,0.0
Someone is slicing a tomato.,Someone is slicing fruit.,0.64
A woman is dancing in a cage.,A woman is dancing.,0.65
A woman is swimming.,A man is spitting.,0.0
A man is running.,A man is mooing.,0.2
The man is playing the guitar.,The man played his guitar.,0.73
A cat stares into the camera.,A cat addresses the camera.,0.6
The baby is laughing and crawling.,A baby is laughing and crawling on the floor.,0.84
A woman is shooting a gun.,A woman shoots a shotgun.,0.82
A woman is dancing in the rain.,A woman is dancing in railway station.,0.4
A woman is dancing.,A woman is exercising.,0.2
A kid is playing an instrument.,A young boy is playing a wind instrument.,0.76
Someone slices a bottle with a sword.,A man breaks a bottle with a sword.,0.8
A woman is cutting an apple.,A woman is cutting potato.,0.36
The man is peeling an apple.,A man peels an apple.,1.0
The man is playing the guitar.,The man is playing with a skull.,0.2
An animal is walking on the ground.,A solenodon is walking along the ground.,0.6
A little girl is playing a grand piano on stage.,A little girl is playing the piano.,0.52
a group of people dancing,A group of men are dancing.,0.68
A man plays a guitar.,A woman is playing guitar.,0.4
A cat swings on a ceiling fan.,A cat is spun around by a ceiling fan.,0.84
A woman is playing the flute.,A girl is playing a flute.,0.76
The woman is dicing onions.,A woman is cutting an onion.,0.88
A monkey is brushing a bull dog.,A monkey brushes a dog.,0.84
A woman is slicing a onion.,A woman is cutting a potato.,0.24
A man is playing the piano.,A woman is playing a guitar.,0.24
A woman is washing her hands.,A woman is straightening her hair.,0.16
A woman fires a shotgun.,A woman is shooting a gun.,0.64
A man is eating a bowl of cereal.,The man is eating cereal.,0.8
A woman is bathing into bath-tub.,A woman is taking a bath.,0.88
A motorcyclist crashes on his motorcycle.,A person crashes on a motorcycle.,0.84
A man is dangling a mouse near a snake.,A man is feeding a mice to a snake.,0.64
A man and a woman are walking in the woods.,A man and woman are walking through the jungle.,0.68
A person pours some rice pudding into a bowl.,The lady poured the rice pudding into a bowl.,0.8
A man stares out a window.,A man looks out the window.,0.96
A woman is firing a rifle.,A woman is cutting a lemon.,0.04
A man is eating a banana.,Someone is peeling a banana.,0.36
The men are performing on stage.,The comedic mimes performed on stage.,0.52
A cartoon woman dives into a pool.,A cartoon woman is diving off a board.,0.56
The lady put the baby int a trashcan.,A woman puts a baby in a trash can.,1.0
Someone is frying meat.,Someone is playing paino.,0.05
A man is rapidly chopping some mushrooms using a knife.,A person is quickly chopping mushrooms with a knife.,0.75
A woman is adding ingredients to a bowl.,A woman is cracking three eggs into a bowl.,0.35
A skateboarder does tricks on a half-pipe.,A man skateboards on a half pipe.,0.7
A man is speaking on a stage.,A man is speaking at a podium.,0.68
A man is playing a guitar.,A man in a hat is playing a harp.,0.28
A man is playing on his keyboard.,A man is playing a guitar.,0.28
A person is cutting a potato.,A person is slicing a shallot.,0.2
A man is dancing on the ceiling of a room.,A man is dancing upside-down on the ceiling.,0.92
Two men are dancing.,Two women are shopping.,0.08
Someone is seasoning eggs.,Someone is seasoning two raw eggs in a bowl.,0.72
A man is swinging in a rope.,A gibbon is swinging in the trees.,0.25
A man is cutting tomatoes.,A woman is cutting broccoli.,0.3
A woman is boiling shrimp.,A woman is combing her hair.,0.2
A man cuts a potato.,A man is slicing a potato.,0.75
A man is dancing on the road.,A man is dancing.,0.65
The deer jumped over the fence.,A deer jumps over a cyclone fence.,0.8
A girl dances in the rain.,A woman is dancing in the rain.,0.6
A woman is writing a letter.,A woman is sitting at a desk.,0.33
A gorilla is playing the drums.,A monkey is playing drums.,0.67
A woman is riding on a horse.,A woman is picking tomatoes.,0.1
The boy cut the grass by the curb with scissors.,A boy cuts grass with scissors.,0.75
A man with glasses is talking.,A man in a library is talking.,0.65
A woman is cutting some flowers.,A woman is cutting broccoli.,0.2
A person is walking down a stone path.,A man is walking down a sidewalk.,0.7
A man plays the keyboard with his nose.,The man is playing the piano with his nose.,0.88
A man is playing guitar.,A cat is playing.,0.08
A animal is eating.,The animal is hopping.,0.08
A man is lifting weights.,A man is lifting a barbell.,0.84
A man is running with a bus.,A man runs with a truck.,0.5
A man is climbing a rope.,A man is sitting on a rock.,0.05
A cat is playing the piano.,A cat is licking its paw.,0.05
A woman is dancing in the rain.,A woman is adding oil to a dish.,0.05
Men are running a race.,Racers are running down a track.,0.52
A man is cutting tomatoes into pieces.,A woman is cutting potatoes.,0.36
A man is playing a flute.,A woman is applying eye liner.,0.0
A woman is cutting potatoes.,A woman is slicing carrots.,0.24
A chicken is pecking at a dead mouse.,A rooster pecks at a dead mouse.,0.72
The woman is thinly slicing a cucumber.,The woman is slicing a tomato.,0.24
A person is slicing a bread pieces.,A man is slicing bread.,0.64
A woman is cutting a squash.,A woman is cutting big pepper.,0.44
A woman is adding oil on fishes.,A woman is riding a horse.,0.16
A woman is grating carrots.,A woman is coating a pork chop.,0.32
Someone is cleaning a animal.,A woman is cleaning a shrimp.,0.56
A man is talking on the phone.,A man is talking.,0.64
A woman is smoking.,A woman is making some food.,0.16
A man laying down and shooting a gun,A man is laying on the ground shooting a rifle.,0.76
A man is being put into an abulance.,A man is pouring pasta onto a plate.,0.0
A man is diving into a swimming pool.,A man is singing into a microphone.,0.13
A man is firing a shot gun.,A man shoots a shotgun.,1.0
A man playing the guitar.,A man is playing a flute.,0.36
A man is peeling potato.,A man is playing a guitar.,0.08
The woman is riding a horse.,A man is riding a horse in an arena.,0.4
An airplane moves along a runway.,A plane is landing on a runway.,0.56
A woman is slipping in the water-tub.,A woman is lying in a raft.,0.16
A man is mowing a lawn.,A man is mixing.,0.16
A woman is peeling a potato.,A woman is hitting a man.,0.15
A man is playing piano.,A man is laying on the ground.,0.15
A woman is doing ballet.,A woman is riding on a horse.,0.2
A woman is cutting an onion.,A woman is rowing a boat.,0.16
A woman is stirring rice in a pot.,Someone is putting rice in a pan.,0.55
A woman puts slabs of meat in a pan.,A man puts pieces of meat into a plastic bag.,0.48
The boy played his trumpet.,A boy is playing the trumpet.,0.88
A person is riding a horse.,A man is riding a motorcycle.,0.36
A woman is slicing an onion.,A woman is cutting a carrot.,0.28
A man is slicing vegetables.,A woman is slicing a potato.,0.45
A cat is playing.,A woman is playing flute.,0.05
A man is riding a bicycle.,A man is riding a bicycle around a parking lot.,0.65
A band is performing on a stage.,A band is playing and singing on a stage.,0.9
The woman is slicing fish cake.,The woman is riding a horse.,0.16
A man is eating bread.,A man is playing flute.,0.16
A woman is cooking shrimp.,A woman is dancing.,0.16
A woman is dancing.,A woman is slicing ginger.,0.05
"A woman tosses a cat in the air, and the cat hangs off a rod on the ceiling.",A person throws a cat in the air and it grabs onto the ceiling.,0.7
A big turtle is walking.,The tortoise is walking.,0.85
A man is burning a flag.,A man is shooting a gun.,0.1
The man is pushing the van.,The woman is singing.,0.0
A man is eating wood.,A man is adding oil to car.,0.1
A dog is speaking to the camera.,A dog is eating some water melon.,0.12
A man is putting two paper towels on a paper plate.,A man is putting papers on a dish.,0.44
A man and woman are walking.,A man and woman walking hold each other.,0.64
A man is cutting a rope with a sword.,The man slced through a thick rope with a sword.,0.88
The man is singing and playing the guitar.,A man is playing a guitar.,0.6
A man is cutting a paper.,A person is tearing paper.,0.52
A man is dancing.,A rat is running.,0.0
Two boys are talking on the phone.,A woman is talking on a telephone.,0.36
A man is playing guitar.,A woman is peeling a tuber.,0.0
A woman is slicing an onion.,A women slicing lemons.,0.28
A woman is riding a horse.,A man is running on rope.,0.0
A man is playing soccer.,A man is drawing some figures.,0.08
A woman is peeling an orange.,A man is playing a flute.,0.0
Someone is cracking an egg open.,A man is breaking an egg.,0.6
A man is cutting a snake to cook.,A woman is cutting meat.,0.4
A woman is scraping a carrot.,A man is striking clay pots.,0.0
A man and woman are Bollywood dancing.,A man an woman are dancing in the rain.,0.33
A woman is cutting flowers.,A man is holding huge sunflowers.,0.2
The man danced in the diner.,The bomb exploded in the desert.,0.0
American flag is waving.,A American flag is blowing in the wind.,0.84
A lion is walking in an enclosed area.,A lion is walking around.,0.52
A woman is slicing a lemon.,A man is showing a bread.,0.05
A woman is playing the flute.,A woman is slicing some tuna.,0.08
The dog is barking at the toy.,A dog is barking at an electronic toy duck.,0.7
A woman is adding an egg and stirring.,A woman is mixing an egg in a bowl.,0.7
A woman covers a piece of meat with flour.,A woman is seasoning a piece of meat.,0.6
A white cat perched on a small wooden cabinet is looking outside the window.,"A cat, perched on a table, looks out the window.",0.68
A man does floor exercises.,A man is exercising.,0.72
A man is slicing a potatoe.,A man is peeling a banana.,0.2
Someone is playing piano.,A person is playing a keyboard piano.,0.72
The woman is putting makeup on the man.,A woman is painting the face of a man.,0.56
The woman droppped eggplant into the pan.,A woman puts chopped eggplant into a skillet.,0.8
A man plays a trumpet.,A man is playing a musical instrument.,0.68
A woman is slicing a lemon.,"A woman, in a kitchen, peels a lemon.",0.53
A tiger trys to climb the wall.,A lion is trying to climb up over a wall.,0.6
A man is preparing a hanging rope.,A man is tying a noose.,0.93
A woman dances on a stage.,A woman is dancing.,0.64
The girl is riding the horse.,The girl is spraying the plants with water.,0.04
A person is frying.,A person is peeling a potato.,0.24
A man is shooting a pistol.,A woman is chopping garlic.,0.16
A woman is swinging her arms.,A woman is slicing an onion.,0.16
A man is walking outside.,A man is dancing.,0.15
A man dries his hands.,A woman fixes her hair.,0.05
A soccer player is kicking the soccer ball into the goal from a long way down the field.,A soccer player kicks the ball into the goal.,0.65
A girl is playing the piano.,A little girl is playing a grand piano on stage.,0.67
A man is drawing some figures.,A man is drawing on a digital dry erase board.,0.67
The monkey is hanging from the trees.,The monkey swung from branch to branch.,0.4
Some children are jumping on Trampoline.,Two boy are playing on a trampoline.,0.6
A woman with a knife is slicing a pepper.,A women slicing green pepper.,0.8
A man is adding oil to car.,A man is putting anti-freeze into a car.,0.4
A man is slicing a carrot by a machine.,A man is climbing a rope.,0.08
A boy played a keyboard.,A person is playing a piano keyboard.,0.64
A cat is playing with an antenna.,A boy is playing in the mud.,0.08
A woman is slicing pumpkin.,A person is slicing cantaloupe.,0.4
The people threw the dummy over the cliff edge.,Some people are throwing a dummy off a cliff.,0.9
A gun is being fired.,A potato is being peeled.,0.1
A woman is cutting a plastic sheet.,A woman is playing a guitar on streets.,0.1
A woman cuts a pineapple.,A woman is slicing a pineapple into pieces.,0.8
A woman is adding spices on a meat.,A woman adds ingredients to beef.,0.75
A person is adding oil in the pan.,The cook pouring oil into the pan.,0.85
A cook seasons some dough.,A man is seasoning some dough in a pan.,0.75
A boy is running on a beach.,Two boys are playing in the beach.,0.55
A baby monkey scratches itself.,The monkey scratched his tummy.,0.65
A boy is riding a bike on a gate.,A woman is riding a horse.,0.16
A man is doing a card trick.,A man is squeezing water.,0.05
A man is playing the piano.,Someone is playing guitar.,0.15
A man is mowing grass.,A guy is mowing the lawn.,0.96
A person is mixing water and flour.,A person is hitchhiking on a road.,0.16
The two dogs were in the pen.,The cowboy rode his horse in the desert.,0.0
A man is riding on one wheel on a motorcycle.,A person is performing tricks on a motorcycle.,0.6
A cat opens a drawer and climbs inside.,A big cat opens a plastic drawer with his paws and then hops inside.,0.75
A man is opening a box using a knife.,A man is playing a guitar.,0.0
A man is kicking oots of water.,A woman is slicing a red pepper.,0.05
A man is eating.,A woman is rock climbing.,0.0
A puppy is repeatedly rolling from side to side while on its back.,A dog is rolling from side to side.,0.7
A young boy sings and plays a guitar.,A kid plays the guitar.,0.65
The woman is peeling lemon.,The man is balancing on the wire.,0.08
A man is playing the trumpet.,Someone is playing with a toad.,0.16
